Date,Close,Volume
2006-02-28,128.22999572753906,74394800
2006-03-01,129.3699951171875,48641600
2006-03-02,129.36000061035156,60642300
2006-03-03,128.75999450683594,73402500
2006-03-06,128.1699981689453,57478400
2006-03-07,127.97000122070312,61780800
2006-03-08,128.24000549316406,66692400
2006-03-09,127.37999725341797,56313600
2006-03-10,128.58999633789062,60490800
2006-03-13,128.8300018310547,45479100
2006-03-14,130.17999267578125,69877300
2006-03-15,130.75999450683594,53398900
2006-03-16,131.02999877929688,65526400
2006-03-17,130.6199951171875,47286800
2006-03-20,130.41000366210938,45538500
2006-03-21,129.58999633789062,87102700
2006-03-22,130.3800048828125,51605700
2006-03-23,130.11000061035156,46704200
2006-03-24,130.2100067138672,43209200
2006-03-27,130.02000427246094,32523000
2006-03-28,129.22000122070312,82079900
2006-03-29,130.02999877929688,61505700
2006-03-30,129.8000030517578,70571700
2006-03-31,129.8300018310547,62925600
2006-04-03,129.72999572753906,61624700
2006-04-04,130.55999755859375,54809300
2006-04-05,131.00999450683594,50607200
2006-04-06,130.8699951171875,57906200
2006-04-07,129.5399932861328,80180900
2006-04-10,129.74000549316406,41496500
2006-04-11,128.63999938964844,72799400
2006-04-12,128.8800048828125,43033700
2006-04-13,128.7100067138672,51051800
2006-04-17,128.66000366210938,64167700
2006-04-18,130.6999969482422,92531800
2006-04-19,130.9499969482422,87269000
2006-04-20,131.1300048828125,86005500
2006-04-21,131.14999389648438,72342600
2006-04-24,130.91000366210938,52546400
2006-04-25,130.3699951171875,84359800
2006-04-26,130.39999389648438,67262400
2006-04-27,131.02999877929688,124478600
2006-04-28,131.47000122070312,55854400
2006-05-01,130.39999389648438,64990300
2006-05-02,131.3800048828125,49063500
2006-05-03,130.88999938964844,60821300
2006-05-04,131.36000061035156,42921400
2006-05-05,132.52000427246094,62588200
2006-05-08,132.36000061035156,30016700
2006-05-09,132.6199951171875,29864000
2006-05-10,132.5500030517578,64378200
2006-05-11,130.9499969482422,80626900
2006-05-12,129.24000549316406,91726500
